,x,y,names,dist
0,811,295.0,ep0,-103.96634070698074
1,797,310.0,ep1,-83.45058418010025
2,782,325.0,ep2,-62.24146527838174
3,768,340.0,ep3,-41.725292090050125
4,753,355.0,ep4,-20.518284528683193
5,739,370.0,lc5,0.0
6,724,385.0,lc6,21.213203435596427
7,709,400.0,lc7,42.42640687119285
8,695,415.0,lc8,62.93647591023826
9,680,430.0,lc9,84.1486779456457
10,666,445.0,lc10,104.66135867644755
11,651,460.0,lc11,125.87295182047652
12,637,475.0,lc12,146.38647478507022
13,622,490.0,lc13,167.59773268156107
14,608,505.0,lc14,188.1116689628796
15,593,520.0,lc15,209.3227173528951
16,578,535.0,lc16,230.53416232740867
17,564,550.0,lc17,251.04780421266383
18,549,565.0,lc18,272.25906780123967
19,535,580.0,lc19,292.77294957014044
20,520,595.0,lc20,313.98407602934265
21,506,610.0,lc21,334.4981315343929
22,826,280.0,ep,-125.17587627015038
23,841,265.0,ep_1,-146.70990934562977
24,856,249.0,ep_2,-168.24395334944273
25,871,234.0,ep_3,-189.77800456148668
26,493,623.0,lc,352.8809997718778
27,478,638.0,lc_1,374.4150696046431
28,463,654.0,lc_2,395.9491400828434
29,448,669.0,lc_3,417.48321110660277
